,error,max_depths,min_leafs,min_splits,std
128,0.7823033707865169,1,7,9,0.019295728958924806
129,0.7823033707865169,1,7,10,0.019295728958924806
130,0.7823033707865169,1,7,11,0.019295728958924806
131,0.7823033707865169,1,7,12,0.019295728958924806
132,0.7823033707865169,1,7,13,0.019295728958924806
133,0.7823033707865169,1,7,14,0.019295728958924806
134,0.7823033707865169,1,7,15,0.019295728958924806
135,0.7823033707865169,1,7,16,0.019295728958924806
136,0.7823033707865169,1,7,17,0.019295728958924806
137,0.7823033707865169,1,7,18,0.019295728958924806
138,0.7823033707865169,1,7,19,0.019295728958924806
139,0.7823033707865169,1,7,20,0.019295728958924806
140,0.7823033707865169,1,8,1,0.019295728958924806
141,0.7823033707865169,1,8,2,0.019295728958924806
142,0.7823033707865169,1,8,3,0.019295728958924806
143,0.7823033707865169,1,8,4,0.019295728958924806
144,0.7823033707865169,1,8,5,0.019295728958924806
145,0.7823033707865169,1,8,6,0.019295728958924806
146,0.7823033707865169,1,8,7,0.019295728958924806
147,0.7823033707865169,1,8,8,0.019295728958924806
148,0.7823033707865169,1,8,9,0.019295728958924806
149,0.7823033707865169,1,8,10,0.019295728958924806
150,0.7823033707865169,1,8,11,0.019295728958924806
151,0.7823033707865169,1,8,12,0.019295728958924806
152,0.7823033707865169,1,8,13,0.019295728958924806
153,0.7823033707865169,1,8,14,0.019295728958924806
154,0.7823033707865169,1,8,15,0.019295728958924806
155,0.7823033707865169,1,8,16,0.019295728958924806
156,0.7823033707865169,1,8,17,0.019295728958924806
157,0.7823033707865169,1,8,18,0.019295728958924806
158,0.7823033707865169,1,8,19,0.019295728958924806
159,0.7823033707865169,1,8,20,0.019295728958924806
160,0.7823033707865169,1,9,1,0.019295728958924806
161,0.7823033707865169,1,9,2,0.019295728958924806
162,0.7823033707865169,1,9,3,0.019295728958924806
163,0.7823033707865169,1,9,4,0.019295728958924806
164,0.7823033707865169,1,9,5,0.019295728958924806
165,0.7823033707865169,1,9,6,0.019295728958924806
166,0.7823033707865169,1,9,7,0.019295728958924806
167,0.7823033707865169,1,9,8,0.019295728958924806
168,0.7823033707865169,1,9,9,0.019295728958924806
169,0.7823033707865169,1,9,10,0.019295728958924806
170,0.7823033707865169,1,9,11,0.019295728958924806
171,0.7823033707865169,1,9,12,0.019295728958924806
172,0.7823033707865169,1,9,13,0.019295728958924806
173,0.7823033707865169,1,9,14,0.019295728958924806
174,0.7823033707865169,1,9,15,0.019295728958924806
175,0.7823033707865169,1,9,16,0.019295728958924806
176,0.7823033707865169,1,9,17,0.019295728958924806
177,0.7823033707865169,1,9,18,0.019295728958924806
178,0.7823033707865169,1,9,19,0.019295728958924806
179,0.7823033707865169,1,9,20,0.019295728958924806
180,0.7823033707865169,1,10,1,0.019295728958924806
181,0.7823033707865169,1,10,2,0.019295728958924806
182,0.7823033707865169,1,10,3,0.019295728958924806
183,0.7823033707865169,1,10,4,0.019295728958924806
184,0.7823033707865169,1,10,5,0.019295728958924806
185,0.7823033707865169,1,10,6,0.019295728958924806
186,0.7823033707865169,1,10,7,0.019295728958924806
187,0.7823033707865169,1,10,8,0.019295728958924806
188,0.7823033707865169,1,10,9,0.019295728958924806
189,0.7823033707865169,1,10,10,0.019295728958924806
190,0.7823033707865169,1,10,11,0.019295728958924806
191,0.7823033707865169,1,10,12,0.019295728958924806
192,0.7823033707865169,1,10,13,0.019295728958924806
193,0.7823033707865169,1,10,14,0.019295728958924806
194,0.7823033707865169,1,10,15,0.019295728958924806
195,0.7823033707865169,1,10,16,0.019295728958924806
196,0.7823033707865169,1,10,17,0.019295728958924806
197,0.7823033707865169,1,10,18,0.019295728958924806
198,0.7823033707865169,1,10,19,0.019295728958924806
199,0.7823033707865169,1,10,20,0.019295728958924806
200,0.7823033707865169,1,11,1,0.019295728958924806
201,0.7823033707865169,1,11,2,0.019295728958924806
202,0.7823033707865169,1,11,3,0.019295728958924806
203,0.7823033707865169,1,11,4,0.019295728958924806
204,0.7823033707865169,1,11,5,0.019295728958924806
205,0.7823033707865169,1,11,6,0.019295728958924806
206,0.7823033707865169,1,11,7,0.019295728958924806
207,0.7823033707865169,1,11,8,0.019295728958924806
208,0.7823033707865169,1,11,9,0.019295728958924806
209,0.7823033707865169,1,11,10,0.019295728958924806
210,0.7823033707865169,1,11,11,0.019295728958924806
211,0.7823033707865169,1,11,12,0.019295728958924806
212,0.7823033707865169,1,11,13,0.019295728958924806
213,0.7823033707865169,1,11,14,0.019295728958924806
214,0.7823033707865169,1,11,15,0.019295728958924806
215,0.7823033707865169,1,11,16,0.019295728958924806
216,0.7823033707865169,1,11,17,0.019295728958924806
217,0.7823033707865169,1,11,18,0.019295728958924806
218,0.7823033707865169,1,11,19,0.019295728958924806
219,0.7823033707865169,1,11,20,0.019295728958924806
220,0.7823033707865169,1,12,1,0.019295728958924806
221,0.7823033707865169,1,12,2,0.019295728958924806
222,0.7823033707865169,1,12,3,0.019295728958924806
223,0.7823033707865169,1,12,4,0.019295728958924806
224,0.7823033707865169,1,12,5,0.019295728958924806
225,0.7823033707865169,1,12,6,0.019295728958924806
226,0.7823033707865169,1,12,7,0.019295728958924806
227,0.7823033707865169,1,12,8,0.019295728958924806
228,0.7823033707865169,1,12,9,0.019295728958924806
229,0.7823033707865169,1,12,10,0.019295728958924806
230,0.7823033707865169,1,12,11,0.019295728958924806
231,0.7823033707865169,1,12,12,0.019295728958924806
232,0.7823033707865169,1,12,13,0.019295728958924806
233,0.7823033707865169,1,12,14,0.019295728958924806
234,0.7823033707865169,1,12,15,0.019295728958924806
235,0.7823033707865169,1,12,16,0.019295728958924806
