,error,max_f,n_est,stds
154,0.8398876404494382,log2,500,0.027827370220216554
155,0.8426966292134831,log2,1000,0.026530209153806505
156,0.827247191011236,,10,0.02436276544982304
157,0.8328651685393258,,50,0.020929432759442534
158,0.8356741573033708,,100,0.026161547190716464
159,0.8356741573033708,,200,0.025457892962190427
160,0.8356741573033708,,500,0.025283414320147503
161,0.8342696629213483,,1000,0.022418763960613937
162,0.8230337078651685,sqrt,10,0.03435668765064695
163,0.8426966292134831,sqrt,50,0.0349623075331241
164,0.8412921348314607,sqrt,100,0.027205505850485576
165,0.8441011235955056,sqrt,200,0.031118960618942128
166,0.8384831460674157,sqrt,500,0.030448293484312813
167,0.8398876404494382,sqrt,1000,0.026429879816371807
168,0.8328651685393258,log2,10,0.015264586036647676
169,0.8356741573033708,log2,50,0.03125864380997179
170,0.8441011235955056,log2,100,0.02984144787904879
171,0.8426966292134831,log2,200,0.026530209153806505
172,0.8426966292134831,log2,500,0.029594828129766288
173,0.8455056179775281,log2,1000,0.027342577218263768
174,0.8216292134831461,,10,0.030235216970259556
175,0.8398876404494382,,50,0.018729022145420247
176,0.8314606741573034,,100,0.024977196107250764
177,0.8370786516853933,,200,0.025900704593456232
178,0.8370786516853933,,500,0.026381026833554193
179,0.8356741573033708,,1000,0.02373285966054404
